id,rollno,month,pendingamount,paidamount,latefine,paiddate,sessionyear
1,0161CS202418,January,0,500,0,2024-02-03,2023-2024
2,01987EC10990,February,0,500,0,2024-02-03,2023-2024
3,01987EC10990,March,0,500,0,2024-02-03,2023-2024
4,01987EC10990,April,0,500,0,2024-02-03,2023-2024
5,01987EC10990,January,0,500,0,2024-02-03,2023-2024
6,0161CS202418,February,0,500,0,2024-02-03,2023-2024
7,0161CS202418,March,0,500,0,2024-02-03,2023-2024
8,0161CS202418,April,0,500,0,2024-02-03,2023-2024
9,01987EC10989,April,0,500,0,2024-02-03,2023-2024
10,,,,,,,
11,,,,,,,
