id,rollno,branch,semester,subject1,subjectcode1,marks1,prac1,subject2,subjectcode2,marks2,prac2,subject3,subjectcode3,marks3,prac3,subject4,subjectcode4,marks4,prac4,subject5,subjectcode5,marks5,prac5,school,resultdate,status,sessionyear
14,01987EC10990,Electronics & Comminucation,2,Engineering Physics,BT2001,57,17,Mathematics-II,BT2002,51,21,Basic Mechanical Engineering,BT2003,52,28,Basic Civil Engineering & Engineering Mechanics,BT2004,58,15,Basic Computer Engineering,BT2005,46,17,"Acropolis Institute Bypass Road,Manglia Square, Indore",2023-09-20,Regular,2023-2027
15,01987EC10990,Electronics & Comminucation,3,Engineering Chemistry,BT3001,65,23,Mathematics-I,BT3002,64,16,English for Communication,BT3003,44,21,Basic Electrical & Electronics Engineering,BT3004,54,16,Engineering Graphics,BT3005,63,19,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-04-21,Regular,2023-2027
16,01987EC10990,Electronics & Comminucation,4,Engineering Chemistry,BT4001,51,23,Mathematics-I,BT4002,43,21,English for Communication,BT4003,35,22,Basic Electrical & E,BT4004,55,19,Engineering Graphics,BT4005,37,26,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-04-21,Regular,2023-2027
17,0161CS202418,Electronics & Comminucation,1,Engineering Chemistry,BT1001,33,22,Mathematics-I,BT1002,65,23,English for Communication,BT1003,33,27,Basic Electrical & Electronics Engineering,BT1004,65,26,Engineering Graphics,BT1005,63,16,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-01-27,Regular,2023-2027
18,0161CS202418,Electronics & Comminucation,2,Engineering Physics,BT2001,37,22,Mathematics-II,BT2002,33,27,Basic Mechanical Engineering,BT2003,45,28,Basic Civil Engineering & Engineering Mechanics,BT2004,45,18,Basic Computer Engineering,BT2005,53,20,"Acropolis Institute Bypass Road,Manglia Square, Indore",2023-09-20,Regular,2023-2027
19,0161CS202418,Electronics & Comminucation,3,Engineering Chemistry,BT3001,56,19,Mathematics-I,BT3002,33,16,English for Communication,BT3003,64,16,Basic Electrical & Electronics Engineering,BT3004,44,19,Engineering Graphics,BT3005,35,23,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-04-21,Regular,2023-2027
20,0161CS202418,Electronics & Comminucation,4,Engineering Chemistry,BT4001,34,27,Mathematics-I,BT4002,43,19,English for Communication,BT4003,37,27,Basic Electrical & E,BT4004,44,23,Engineering Graphics,BT4005,61,22,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-04-21,Regular,2023-2027
21,01987EC10989,Electronics & Comminucation,1,Engineering Chemistry,BT1001,61,18,Mathematics-I,BT1002,52,24,English for Communication,BT1003,61,27,Basic Electrical & Electronics Engineering,BT1004,32,23,Engineering Graphics,BT1005,34,21,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-01-27,Regular,2023-2027
22,01987EC10989,Electronics & Comminucation,2,Engineering Physics,BT2001,46,20,Mathematics-II,BT2002,37,25,Basic Mechanical Engineering,BT2003,56,17,Basic Civil Engineering & Engineering Mechanics,BT2004,38,17,Basic Computer Engineering,BT2005,63,24,"Acropolis Institute Bypass Road,Manglia Square, Indore",2023-09-20,Regular,2023-2027
23,01987EC10989,Electronics & Comminucation,3,Engineering Chemistry,BT3001,52,23,Mathematics-I,BT3002,40,19,English for Communication,BT3003,38,16,Basic Electrical & Electronics Engineering,BT3004,36,21,Engineering Graphics,BT3005,43,27,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-04-21,Regular,2023-2027
24,01987EC10989,Electronics & Comminucation,4,Engineering Chemistry,BT4001,37,20,Mathematics-I,BT4002,56,25,English for Communication,BT4003,46,26,Basic Electrical & E,BT4004,39,21,Engineering Graphics,BT4005,35,15,"Acropolis Institute Bypass Road,Manglia Square, Indore",2024-04-21,Regular,2023-2027
